"filename", "language", "JSON", "XML", "JavaScript", "SQL", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\answers.controller.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\departments.controller.js", "JavaScript", 0, 0, 21, 0, 14, 5, 40
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\questions.controller.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\subjects.controller.js", "JavaScript", 0, 0, 22, 0, 14, 4, 40
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\users.controller.js", "JavaScript", 0, 0, 23, 0, 10, 4, 37
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\departments.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\subjects.js", "JavaScript", 0, 0, 1, 0, -1, -1, -1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\users.js", "JavaScript", 0, 0, 1, 0, 1, 1, 3
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\package-lock.json", "JSON", 1635, 0, 0, 0, 0, 0, 1635
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\package.json", "JSON", 2, 0, 0, 0, 0, 0, 2
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\login.svg", "XML", 0, 46, 0, 0, 0, 1, 47
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\manifest.json", "JSON", -17, 0, 0, 0, 0, 0, -17
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.js", "JavaScript", 0, 0, 4, 0, 0, 0, 4
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\api\department.api.js", "JavaScript", 0, 0, 43, 0, 0, 3, 46
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\api\subjects.api.js", "JavaScript", 0, 0, 51, 0, 0, 3, 54
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\api\user.api.js", "JavaScript", 0, 0, 34, 0, 0, 1, 35
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\components\header.js", "JavaScript", 0, 0, 18, 0, 0, 2, 20
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departmentDetails.js", "JavaScript", 0, 0, -47, 0, 0, -2, -49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments.js", "JavaScript", 0, 0, -43, 0, 0, -3, -46
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\addDepartment.js", "JavaScript", 0, 0, 99, 0, 0, 6, 105
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\departmentDetails.js", "JavaScript", 0, 0, 167, 0, 1, 8, 176
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\departments.js", "JavaScript", 0, 0, 84, 0, 1, 4, 89
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\logging\login.js", "JavaScript", 0, 0, 57, 0, 1, 6, 64
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\login.js", "JavaScript", 0, 0, -42, 0, -1, -8, -51
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjectDetails.js", "JavaScript", 0, 0, -22, 0, 0, -2, -24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects.js", "JavaScript", 0, 0, -45, 0, 0, -4, -49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects\addSubject.js", "JavaScript", 0, 0, 123, 0, 0, 8, 131
