Date : 2023-02-21 17:51:51
Directory : c:\Users\yassi\OneDrive\Bureau\Thesis-project
Total : 86 files,  69398 codes, 552 comments, 488 blanks, all 70438 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JSON         |          8 |     63,494 |          0 |          8 |     63,502 |
| JavaScript   |         57 |      2,918 |        410 |        333 |      3,661 |
| XML          |          5 |      2,635 |          0 |          2 |      2,637 |
| SQL          |          1 |         90 |         94 |         47 |        231 |
| Markdown     |          3 |         77 |          0 |         66 |        143 |
| CSS          |          4 |         57 |          0 |         11 |         68 |
| YAML         |          1 |         45 |          0 |          4 |         49 |
| HTML         |          2 |         40 |         46 |          2 |         88 |
| Shell Script |          2 |         21 |          2 |         12 |         35 |
| Docker       |          3 |         21 |          0 |          3 |         24 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         86 |     69,398 |        552 |        488 |     70,438 |
| . (Files)                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| Backend                                                                                                        |         20 |      2,745 |        337 |        181 |      3,263 |
| Backend (Files)                                                                                                |          5 |      2,220 |          8 |         20 |      2,248 |
| Backend\configs                                                                                                |          2 |         32 |          3 |          2 |         37 |
| Backend\controllers                                                                                            |          6 |        428 |        286 |         97 |        811 |
| Backend\middlewares                                                                                            |          1 |         11 |          4 |          2 |         17 |
| Backend\routes                                                                                                 |          6 |         54 |         36 |         60 |        150 |
| Frontend                                                                                                       |         63 |     66,517 |        121 |        256 |     66,894 |
| Frontend (Files)                                                                                               |          1 |         15 |          1 |          8 |         24 |
| Frontend\admin-portal                                                                                          |         32 |     33,529 |         60 |        139 |     33,728 |
| Frontend\admin-portal (Files)                                                                                  |          4 |     30,669 |          0 |         36 |     30,705 |
| Frontend\admin-portal\public                                                                                   |          4 |      1,345 |         23 |          3 |      1,371 |
| Frontend\admin-portal\src                                                                                      |         24 |      1,515 |         37 |        100 |      1,652 |
| Frontend\admin-portal\src (Files)                                                                              |          8 |        133 |         11 |         24 |        168 |
| Frontend\admin-portal\src\api                                                                                  |          3 |        128 |          0 |          7 |        135 |
| Frontend\admin-portal\src\components                                                                           |          1 |        122 |          2 |          4 |        128 |
| Frontend\admin-portal\src\configs                                                                              |          1 |         46 |         19 |          5 |         70 |
| Frontend\admin-portal\src\pages                                                                                |         10 |      1,062 |          5 |         57 |      1,124 |
| Frontend\admin-portal\src\pages (Files)                                                                        |          1 |          9 |          0 |          1 |         10 |
| Frontend\admin-portal\src\pages\departments                                                                    |          3 |        350 |          2 |         18 |        370 |
| Frontend\admin-portal\src\pages\logging                                                                        |          1 |         57 |          1 |          6 |         64 |
| Frontend\admin-portal\src\pages\subjects                                                                       |          3 |        352 |          1 |         19 |        372 |
| Frontend\admin-portal\src\pages\users                                                                          |          2 |        294 |          1 |         13 |        308 |
| Frontend\admin-portal\src\utils                                                                                |          1 |         24 |          0 |          3 |         27 |
| Frontend\user-portal                                                                                           |         30 |     32,973 |         60 |        109 |     33,142 |
| Frontend\user-portal (Files)                                                                                   |          4 |     30,689 |          0 |         36 |     30,725 |
| Frontend\user-portal\public                                                                                    |          4 |      1,362 |         23 |          3 |      1,388 |
| Frontend\user-portal\src                                                                                       |         22 |        922 |         37 |         70 |      1,029 |
| Frontend\user-portal\src (Files)                                                                               |          9 |        120 |         11 |         19 |        150 |
| Frontend\user-portal\src\api                                                                                   |          1 |         17 |          0 |          5 |         22 |
| Frontend\user-portal\src\components                                                                            |          2 |        156 |          2 |          7 |        165 |
| Frontend\user-portal\src\configs                                                                               |          1 |         46 |         19 |          5 |         70 |
| Frontend\user-portal\src\pages                                                                                 |          8 |        561 |          5 |         31 |        597 |
| Frontend\user-portal\src\pages (Files)                                                                         |          3 |        140 |          0 |         10 |        150 |
| Frontend\user-portal\src\pages\ask                                                                             |          1 |        109 |          0 |          3 |        112 |
| Frontend\user-portal\src\pages\logging                                                                         |          2 |        148 |          5 |         12 |        165 |
| Frontend\user-portal\src\pages\questions                                                                       |          2 |        164 |          0 |          6 |        170 |
| Frontend\user-portal\src\utils                                                                                 |          1 |         22 |          0 |          3 |         25 |
| Local deployment                                                                                               |          2 |        135 |         94 |         51 |        280 |
| Local deployment (Files)                                                                                       |          1 |         45 |          0 |          4 |         49 |
| Local deployment\config                                                                                        |          1 |         90 |         94 |         47 |        231 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                       | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\Dockerfile                                               | Docker       |          7 |          0 |          1 |          8 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\build_backend.sh                                         | Shell Script |          6 |          1 |          4 |         11 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\configs\authConfig.js                                    | JavaScript   |         17 |          2 |          2 |         21 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\configs\database-config.js                               | JavaScript   |         15 |          1 |          0 |         16 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\answers.controller.js                        | JavaScript   |         33 |         21 |         11 |         65 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\departments.controller.js                    | JavaScript   |         70 |         53 |         17 |        140 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\functions.js                                 | JavaScript   |         32 |         18 |         10 |         60 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\questions.controller.js                      | JavaScript   |        114 |         71 |         23 |        208 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\subjects.controller.js                       | JavaScript   |         77 |         60 |         16 |        153 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\users.controller.js                          | JavaScript   |        102 |         63 |         20 |        185 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\middlewares\cors_handler.js                              | JavaScript   |         11 |          4 |          2 |         17 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\package-lock.json                                        | JSON         |      2,170 |          0 |          1 |      2,171 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\package.json                                             | JSON         |         23 |          0 |          1 |         24 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\admin.js                                          | JavaScript   |          8 |          1 |          3 |         12 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\answers.js                                        | JavaScript   |          6 |          8 |         10 |         24 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\departments.js                                    | JavaScript   |          9 |          6 |         10 |         25 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\questions.js                                      | JavaScript   |         11 |          8 |         16 |         35 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\subjects.js                                       | JavaScript   |         10 |          6 |          9 |         25 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\users.js                                          | JavaScript   |         10 |          7 |         12 |         29 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\server.js                                                | JavaScript   |         14 |          7 |         13 |         34 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\Dockerfile                                 | Docker       |          7 |          0 |          1 |          8 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\README.md                                  | Markdown     |         38 |          0 |         33 |         71 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\package-lock.json                          | JSON         |     30,577 |          0 |          1 |     30,578 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\package.json                               | JSON         |         47 |          0 |          1 |         48 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\bme.svg                             | XML          |      1,271 |          0 |          0 |      1,271 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\index.html                          | HTML         |         20 |         23 |          1 |         44 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\login.svg                           | XML          |         46 |          0 |          1 |         47 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\manifest.json                       | JSON         |          8 |          0 |          1 |          9 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.css                                | CSS          |         33 |          0 |          6 |         39 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.js                                 | JavaScript   |         34 |          0 |          3 |         37 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.test.js                            | JavaScript   |          7 |          0 |          2 |          9 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\api\department.api.js                  | JavaScript   |         43 |          0 |          3 |         46 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\api\subjects.api.js                    | JavaScript   |         51 |          0 |          3 |         54 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\api\user.api.js                        | JavaScript   |         34 |          0 |          1 |         35 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\components\header.js                   | JavaScript   |        122 |          2 |          4 |        128 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\configs\authConfig.js                  | JavaScript   |         46 |         19 |          5 |         70 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\index.css                              | CSS          |         12 |          0 |          2 |         14 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\index.js                               | JavaScript   |         22 |          7 |          6 |         35 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\layout.js                              | JavaScript   |         12 |          0 |          2 |         14 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\addDepartment.js     | JavaScript   |         99 |          0 |          6 |        105 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\departmentDetails.js | JavaScript   |        167 |          1 |          8 |        176 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\departments.js       | JavaScript   |         84 |          1 |          4 |         89 |
| c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\logging\login.js                 | JavaScript   |         57 |          1 |          6 |         64 |
