"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\users.controller.js", "JavaScript", 36, 0, 10, 3, 49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\package-lock.json", "JSON", 0, 146, 0, 0, 146
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\package.json", "JSON", 0, 2, 0, 0, 2
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\users.js", "JavaScript", 1, 0, 0, -1, 0
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\auth.js", "JavaScript", 29, 0, 0, 2, 31
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\user.api.js", "JavaScript", 8, 0, 0, 0, 8
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\header.js", "JavaScript", -5, 0, 7, 0, 2
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\layout.js", "JavaScript", 5, 0, 0, -2, 3
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\adms.js", "JavaScript", 2, 0, 0, 0, 2
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\edu.js", "JavaScript", 2, 0, 0, -1, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\login.js", "JavaScript", 19, 0, -1, -2, 16
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\register.js", "JavaScript", 121, 0, 3, 1, 125
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\utils\customHooks.js", "JavaScript", 21, 0, 0, 3, 24
"Total", "-", 239, 148, 19, 3, 409
